R205

VEHICLE
NUMBER     CAPACITY
  25         1000

CUSTOMER
CUST NO.   XCOORD.    YCOORD.   DEMAND   READY TIME   DUE DATE   SERVICE TIME   APPEAR
 
    0      35         35          0          0       1000          0      0
    1      41         49         10        658        898         10      666
    2      35         17          7         93        333         10      0
    3      55         45         13        436        676         10      638
    4      55         20         19        620        860         10      706
    5      15         30         26         20        260         10      159
    6      25         30          3        345        585         10      513
    7      20         50          5        251        491         10      0
    8      10         43          9        323        563         10      458
    9      55         60         16        329        569         10      0
   10      30         60         16        485        725         10      0
   11      20         65         12        146        386         10      229
   12      50         35         19        167        407         10      124
   13      30         25         23        639        879         10      11
   14      15         10         20         32        272         10      0
   15      30          5          8        118        358         10      90
   16      10         20         19        203        443         10      310
   17       5         30          2        682        922         10      0
   18      20         40         12        286        526         10      0
   19      15         60         17        204        444         10      0
   20      45         65          9        504        744         10      327
   21      45         20         11        153        393         10      123
   22      45         10         18        332        572         10      473
   23      55          5         29        146        386         10      0
   24      65         35          3        656        896         10      308
   25      65         20          6        716        956         10      0
   26      45         30         17        508        748         10      580
   27      35         40         16         60        300         10      62
   28      41         37         16         65        305         10      0
   29      64         42          9        132        372         10      0
   30      40         60         21        187        427         10      73
   31      31         52         27         94        334         10      0
   32      35         69         23        599        839         10      0
   33      53         52         11         24        264         10      0
   34      65         55         14        452        692         10      98
   35      63         65          8        630        870         10      0
   36       2         60          5         41        281         10      0
   37      20         20          8        530        770         10      0
   38       5          5         16        234        474         10      69
   39      60         12         31         33        273         10      166
   40      40         25          9        279        519         10      0
   41      42          7          5        334        574         10      360
   42      24         12          5         25        265         10      205
   43      23          3          7        543        783         10      0
   44      11         14         18        167        407         10      20
   45       6         38         16         29        269         10      3
   46       2         48          1        452        692         10      165
   47       8         56         27         48        288         10      16
   48      13         52         36        720        960         10      0
   49       6         68         30        401        641         10      0
   50      47         47         13        475        715         10      0
   51      49         58         10        281        521         10      0
   52      27         43          9        117        357         10      156
   53      37         31         14        332        572         10      0
   54      57         29         18        568        808         10      564
   55      63         23          2        560        800         10      0
   56      53         12          6        519        759         10      0
   57      32         12          7        356        596         10      222
   58      36         26         18        740        980         10      0
   59      21         24         28         17        257         10      0
   60      17         34          3        672        912         10      84
   61      12         24         13        214        454         10      0
   62      24         58         19        113        353         10      67
   63      27         69         10         34        274         10      0
   64      15         77          9        154        394         10      320
   65      62         77         20         49        289         10      96
   66      49         73         25        523        763         10      0
   67      67          5         25        228        468         10      368
   68      56         39         36        575        815         10      0
   69      37         47          6        108        348         10      0
   70      37         56          5        728        968         10      0
   71      57         68         15        198        438         10      273
   72      47         16         25         22        262         10      0
   73      44         17          9        234        474         10      0
   74      46         13          8        622        862         10      577
   75      49         11         18        171        411         10      0
   76      49         42         13        212        452         10      252
   77      53         43         14        730        970         10      595
   78      61         52          3        322        562         10      0
   79      57         48         23        307        547         10      0
   80      56         37          6        728        968         10      80
   81      55         54         26        314        554         10      215
   82      15         47         16        106        346         10      205
   83      14         37         11         53        293         10      0
   84      11         31          7        354        594         10      384
   85      16         22         41        299        539         10      154
   86       4         18         35        307        547         10      72
   87      28         18         26        314        554         10      491
   88      26         52          9        214        454         10      223
   89      26         35         15        718        958         10      0
   90      31         67          3        320        560         10      385
   91      15         19          1        683        923         10      214
   92      22         22          2         18        258         10      0
   93      18         24         22        729        969         10      0
   94      26         27         27        350        590         10      402
   95      25         24         20         42        282         10      0
   96      22         27         11        529        769         10      0
   97      25         21         12        523        763         10      0
   98      19         21         10        125        365         10      0
   99      20         26          9        263        503         10      0
  100      18         18         17        725        965         10      0
