rc2_2_9

VEHICLE
NUMBER     CAPACITY
  50         1000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   APPEAR
 
    0      70         70          0          0       2535          0   0
    1      10         86         14       1462       1942         10   0
    2      16         62         15       1404       1884         10   0
    3      84         36         10        227        707         10   353
    4      79         72         22          9        489         10   0
    5      16         39         20        144        624         10   0
    6      61         54         10         18        498         10   0
    7      96         26         10         51        531         10   0
    8      16         92         10       1255       1735         10   44
    9      85        106         20         39        519         10   438
   10       6         25         10        341        821         10   655
   11      37        125         10       1194       1674         10   0
   12      87        108         20         51        531         10   311
   13      18        104         18       1167       1647         10   0
   14      61         48         20         90        570         10   253
   15      97         29         30         49        529         10   463
   16     112         67         10        150        630         10   0
   17      50        106         25       1101       1581         10   0
   18      99         28         30        149        629         10   0
   19      15          9          2       1461       1941         10   0
   20      19         37         20        325        805         10   576
   21      90        101         10        441        921         10   715
   22     125         68         20        588       1068         10   0
   23     127        108         10        359        839         10   20
   24      90         44          6         32        512         10   350
   25       4         23         10        290        770         10   0
   26      17         37         30        233        713         10   0
   27     113         32         36        396        876         10   0
   28      63         57         10         14        494         10   153
   29      94        104         10        333        813         10   357
   30      58         95         35       1760       2240         10   0
   31     137         96          9         71        551         10   328
   32     127        112         20        303        783         10   0
   33     103        119         18       1156       1636         10   0
   34      20         69         13       1332       1812         10   569
   35       2         28         10        136        616         10   384
   36      88         29         33       2001       2481         10   0
   37      86        102         10         35        515         10   0
   38     126        112         10        259        739         10   0
   39      61         34          7       1710       2190         10   585
   40     113         69         20        101        581         10   217
   41     109         78         21        771       1251         10   0
   42      21         48         10         53        533         10   0
   43      86         36         20        134        614         10   58
   44      97         12         10        645       1125         10   872
   45     121        112         20        116        596         10   0
   46      19         39         10        373        853         10   502
   47      66         40         20         30        510         10   0
   48      87         39         20         35        515         10   207
   49      63         50         10         39        519         10   0
   50     121        123          9        848       1328         10   961
   51     116         22         32        371        851         10   417
   52     137        101         12        497        977         10   48
   53     137        137         27        219        699         10   300
   54      70         94         32         24        504         10   34
   55     117         92         25        952       1432         10   29
   56     122        113         20        161        641         10   303
   57     109         71         20         39        519         10   116
   58      35        102         10        509        989         10   0
   59      91        108         10        107        587         10   355
   60       8         87         17       1425       1905         10   0
   61     140         42         13        222        702         10   0
   62      16         38         20        188        668         10   150
   63      44         36          9         42        522         10   256
   64      60         84         23       1746       2226         10   0
   65     109        139          8        272        752         10   102
   66      80        103         15       1308       1788         10   1679
   67      66         82         27       1824       2304         10   1602
   68      99         26         40        101        581         10   0
   69      34        108         10        305        785         10   0
   70     135         65          3       1175       1655         10   879
   71      36        124         34        755       1235         10   0
   72     102         60         30        360        840         10   0
   73      30         21         12       1110       1590         10   0
   74     139        110         19        586       1066         10   774
   75      10        111         21       1791       2271         10   1425
   76      18         70         26       1384       1864         10   0
   77       4         28         10        396        876         10   0
   78      57         53         10        197        677         10   350
   79      54         41          9        945       1425         10   718
   80     107         25         13        915       1395         10   0
   81     110         99         21       1031       1511         10   765
   82      84         88         16       1245       1725         10   0
   83     101          0          9       1812       2292         10   0
   84      28         99         10         51        531         10   449
   85     119        114         20         65        545         10   0
   86     118        108         10        519        999         10   19
   87      50        112         18        747       1227         10   0
   88      44        116         27         52        532         10   0
   89      82        100         18        237        717         10   674
   90      83         12         29        741       1221         10   0
   91     126         23         13        874       1354         10   0
   92      85         75         37         15        495         10   49
   93      39         13         20       1323       1803         10   367
   94     120        136         10        278        758         10   424
   95     105          2          1        715       1195         10   234
   96      36         54         15       1308       1788         10   0
   97      35         90         20       1603       2083         10   0
   98     111         66         20        196        676         10   512
   99     119        136         30        234        714         10   0
  100      84         99         20         32        512         10   24
  101     137        127         28        602       1082         10   0
  102      95         35         10         43        523         10   0
  103      69          6          8        152        632         10   11
  104       1         24         10        237        717         10   508
  105      31        112         20        245        725         10   0
  106     138         78         43        629       1109         10   0
  107     100         99         17       1016       1496         10   705
  108     123        112         20        207        687         10   0
  109     119        130         20        432        912         10   0
  110      92         22         18        580       1060         10   315
  111     137          7         40        443        923         10   0
  112     121        124         21        419        899         10   276
